Name;District;Municipality;Township;Line
Porto Campanha;Porto;Porto;Porto;Linha do Norte
Viana do Castelo;Viana do Castelo;Viana do Castelo;Viana do Castelo;Linha do Minho
Ermidas-Sado;Setubal;Santiago do Cacem;Ermidas-Sado;Linha do Sul
Faro;Faro;Faro;Faro;Linha do Algarve
Funcheira;Beja;Ourique;Funcheira;Linha do Sul
Lisboa Oriente;Lisboa;Lisboa;Parque das Nacoes;Linha do Norte
Nine;Braga;Famalicao;Nine;Linha do Minho
Pinhal Novo;Setubal;Palmela;Pinhal Novo;Linha do Sul
Pombal;Leiria;Pombal;Pombal;Linha do Norte
Tunes;Faro;Silves;Tunes;Linha do Sul
Vila Nova de Gaia-Devesas;Porto;Vila Nova de Gaia;Vila Nova de Gaia;Linha do Norte
Silva;Braga;Barcelos;Silva;Linha do Minho
Sao Pedro da Torre;Viana do Castelo;Valenca;Sao Pedro da Torre;Linha do Minho
Vila Nova da Rainha;Lisboa;Azambuja;Vila Nova da Rainha;Linha do Norte
Estarreja;Aveiro;Estarreja;Beduido e Veiros;Linha do Norte
Branca;Aveiro;Albergaria-a-Velha;Branca;Linha do Vouga
Valongo-Vouga;Aveiro;Agueda;Valongo do Vouga;Linha do Vouga
Mirao;Porto;Baiao;Santa Cruz do Douro e Sao Tome de Covelas;Linha do Douro
Oliveira;Porto;Amarante;Vila Mea;Linha do Douro
Famalicao;Braga;Vila Nova de Famalicao;Vila Nova de Famalicao e Calendario;Linha do Minho
Covas;Braga;Guimaraes;Urgezes;Linha de Guimaraes
Darque;Viana do Castelo;Viana do Castelo;Darque;Linha do Minho
Seica-Ourem;Santarem;Ourem;Seica;Linha do Norte
Alferrarede;Santarem;Abrantes;Abrantes (sao Vicente e Sao Joao) e Alferrarede;Linha da Beira Baixa
Fernando Po;Setubal;Palmela;Poceirao e Marateca;Linha do Alentejo
Aveiro - Vouga;Aveiro;Aveiro;Esgueira;Linha do Vouga
Sao Romao;Porto;Trofa;Coronado (sao Romao e Sao Mamede);Linha do Minho
Freixo de Numao;Guarda;Vila Nova de Foz Coa;Vila Nova de Foz Coa;Linha do Douro
Benquerencas;Castelo Branco;Castelo Branco;Benquerencas;Linha da Beira Baixa
Fungalvaz Resguardo;Santarem;Tomar;Madalena e Beselga;Linha do Norte
Alcainca-Moinhos;Lisboa;Mafra;Malveira e Sao Miguel de Alcainca;Linha do Oeste
Pereirinhas;Braga;Guimaraes;Moreira de Conegos;Linha de Guimaraes
Sao Frutuoso;Porto;Maia;Folgosa;Linha do Minho
Vila Franca de Xira;Lisboa;Vila Franca de Xira;Vila Franca de Xira;Linha do Norte
Couto de Cucujaes;Aveiro;Oliveira de Azemeis;Vila de Cucujaes;Linha do Vouga
Oliveira de Azemeis;Aveiro;Oliveira de Azemeis;Oliveira de Azemeis;Linha do Vouga
Carreco;Viana do Castelo;Viana do Castelo;Carreco;Linha do Minho
Afife;Viana do Castelo;Viana do Castelo;Afife;Linha do Minho
Simoes;Coimbra;Soure;Soure;Linha do Norte
Taipa - Requeixo;Aveiro;Aveiro;Requeixo Nossa Senhora de Fatima e Nariz;Linha do Vouga
